category	unit	distinguishable_rate
GII.17_within	OP205536	0.0
GII.17_within	OP205537	0.0
GII.17_within	OP689689	0.6354166666666666
GII.17_within	OP712199	0.28222996515679444
GII.17_within	OP805360	0.02040816326530612
GII.17_within	OP805361	0.03741496598639456
GII.17_within	OP805362	0.09154929577464789
GII.17_within	OR062612	0.4797297297297297
GII.17_within	OR685283	0.0
GII.17_within	PP267276	0.02040816326530612
GII.17_within	PP267277	0.02040816326530612
GII.17_within	PP267278	0.03754266211604096
GII.17_within	PP267279	0.0
GII.17_within	PP267280	0.034129692832764506
GII.17_within	PP267281	0.0
GII.17_within	PP267282	0.0
GII.17_within	PP267283	0.0
GII.17_within	PP267284	0.0
GII.17_within	PP267285	0.017006802721088437
GII.17_within	PP267286	0.0
GII.17_within	PP267287	0.017064846416382253
GII.17_within	PP267288	0.0
GII.17_within	PP267289	0.0
GII.17_within	PP267290	0.020477815699658702
GII.17_within	PP267291	0.023890784982935155
GII.17_within	PP267292	0.0
GII.17_within	PP267293	0.020477815699658702
GII.17_within	PP267294	0.0
GII.17_within	PP267295	0.0
GII.17_within	PP267298	0.25510204081632654
GII.17_within	PP381824	0.6712328767123288
GII.17_within	PP423019	0.0
GII.17_within	PP423020	0.017064846416382253
GII.17_within	PP587392	0.07432432432432433
GII.17_within	PP587393	0.0945945945945946
GII.17_within	PQ031234	0.6964285714285714
GII.17_within	PQ273196	0.25675675675675674
GII.17_within	PQ304610	0.2569444444444444
GII.17_within	PQ304611	0.0
GII.17_within	PQ304612	0.0
GII.17_within	PQ304633	0.0
GII.17_within	PQ304634	0.0
GII.17_within	PQ308684	0.0
GII.17_within	PQ308685	0.0
GII.17_within	PQ308686	0.3519163763066202
GII.17_within	PQ308687	0.20905923344947736
GII.17_within	PQ308689	0.03832752613240418
GII.17_within	PQ308690	0.0
GII.17_within	PQ310124	0.3205574912891986
GII.17_within	PQ310126	0.30662020905923343
GII.17_within	PQ310127	0.4250871080139373
GII.17_within	PQ310128	0.43902439024390244
GII.17_within	PQ310129	0.40418118466898956
GII.17_within	PQ310130	0.03484320557491289
GII.17_within	PQ310131	0.07317073170731707
GII.17_within	PQ310234	0.10069444444444445
GII.17_within	PQ310235	0.11805555555555555
GII.17_within	PQ310236	0.16666666666666666
GII.17_within	PQ310251	0.006968641114982578
GII.17_within	PQ310252	0.04878048780487805
GII.17_within	PQ310354	0.4409722222222222
GII.17_within	PQ310459	0.9424460431654677
GII.17_within	PQ310518	0.0798611111111111
GII.17_within	PQ310519	0.1423611111111111
GII.17_within	PQ310520	0.0
GII.17_within	PQ310521	0.2673611111111111
GII.17_within	PQ310522	0.0
GII.17_within	PQ336847	0.9131944444444444
GII.17_within	PQ336848	0.06293706293706294
GII.17_within	PQ336849	0.10839160839160839
GII.17_within	PQ336850	0.4125874125874126
GII.17_within	PQ336851	0.01048951048951049
GII.17_within	PQ336852	0.0
GII.17_within	PQ336854	0.04895104895104895
GII.17_within	PQ336856	0.02097902097902098
GII.17_within	PQ336857	0.0
GII.17_within	PQ336859	0.02097902097902098
GII.17_within	PQ336861	0.11888111888111888
GII.17_within	PQ336864	0.22377622377622378
GII.17_within	PQ336865	0.6293706293706294
GII.17_within	PQ336867	0.7692307692307693
GII.17_within	PQ336868	0.07482993197278912
GII.17_within	PQ336869	0.05782312925170068
GII.17_within	PQ336870	0.01020408163265306
GII.17_within	PQ336871	0.02040816326530612
GII.17_within	PQ336872	0.11564625850340136
GII.17_within	PQ336873	0.4013605442176871
GII.17_within	PQ336942	0.07719298245614035
GII.17_within	PQ336943	0.5231316725978647
GII.17_within	PQ336944	0.24210526315789474
GII.17_within	PQ336945	0.28421052631578947
GII.17_within	PQ373119	0.006944444444444444
GII.17_within	PQ373120	0.0
GII.17_within	PQ373121	0.0
GII.17_within	PQ373122	0.02027027027027027
GII.17_within	PQ373123	0.0
GII.17_within	PQ373124	0.0033783783783783786
GII.17_within	PQ373125	0.9446366782006921
GII.17_within	PQ373126	0.3277027027027027
GII.17_within	PQ373127	0.5168918918918919
GII.17_within	PQ373128	0.9016949152542373
GII.17_within	PQ373129	0.42857142857142855
GII.17_within	PQ373130	0.15878378378378377
GII.17_within	PQ373131	0.02097902097902098
GII.17_within	PQ373132	0.020833333333333332
GII.17_within	PQ373133	0.0425531914893617
GII.17_within	PQ373134	0.0
GII.17_within	PQ373135	0.3229166666666667
GII.17_within	PQ373136	0.046263345195729534
GII.17_within	PQ373137	0.060498220640569395
GII.17_within	PQ373138	0.5034722222222222
GII.17_within	PQ373139	0.3333333333333333
GII.17_within	PQ373141	0.3819444444444444
GII.17_within	PQ373142	0.4826388888888889
GII.17_within	PQ373143	0.2508710801393728
GII.17_within	PQ373144	0.2048611111111111
GII.17_within	PQ373145	0.16666666666666666
GII.17_within	PQ373146	0.17708333333333334
GII.17_within	PQ373147	0.4931972789115646
GII.17_within	PQ482378	0.5034722222222222
GII.17_within	PQ482379	0.3715277777777778
GII.17_within	PQ482380	0.3576388888888889
GII.17_within	PV282515	0.6389891696750902
GII.17_within	ws107_FS_2024-12-XX	0.10080645161290322
GII.17_within	ws108_DG_2024-10-XX	0.09210526315789473
