group	accession	genotype	sequence_length	protein	start	end	strand	source
GI	LC726060	GI.6	7667	NTPase	1393	2195	+	orf1_relative
GI	LC726060	GI.6	7667	p22	2196	2623	+	orf1_relative
GI	LC726060	GI.6	7667	VPg	2624	3052	+	orf1_relative
GI	LC726060	GI.6	7667	3CLpro	3053	3641	+	orf1_relative
GI	LC726060	GI.6	7667	RdRp	4574	5336	+	inferred_from_region_blast
GI	LC726061	GI.6	7670	VP1	5337	6959	+	genbank
GI	LC726061	GI.6	7670	VP2	6959	7588	+	genbank
GI	LC726061	GI.6	7670	ORF1	1	5353	+	genbank
GI	LC726061	GI.6	7670	p48	1	1392	+	orf1_relative
GI	LC726061	GI.6	7670	NTPase	1393	2195	+	orf1_relative
GI	LC726061	GI.6	7670	p22	2196	2623	+	orf1_relative
GI	LC726061	GI.6	7670	VPg	2624	3051	+	orf1_relative
GI	LC726061	GI.6	7670	3CLpro	3052	3640	+	orf1_relative
GI	LC726061	GI.6	7670	RdRp	4573	5335	+	inferred_from_region_blast
GI	LC726062	GI.6	7648	VP1	5324	6946	+	genbank
GI	LC726062	GI.6	7648	VP2	6946	7575	+	genbank
GI	LC726062	GI.6	7648	ORF1	1	5340	+	genbank
GI	LC726062	GI.6	7648	p48	1	1388	+	orf1_relative
GI	LC726062	GI.6	7648	NTPase	1389	2189	+	orf1_relative
GI	LC726062	GI.6	7648	p22	2190	2617	+	orf1_relative
GI	LC726062	GI.6	7648	VPg	2618	3044	+	orf1_relative
GI	LC726062	GI.6	7648	3CLpro	3045	3631	+	orf1_relative
GI	LC726062	GI.6	7648	RdRp	4560	5322	+	inferred_from_region_blast
GI	MK236608	GI.6	7607	VP1	5308	6930	+	inferred_from_region_blast
GI	MK236608	GI.6	7607	VP2	5308	6930	+	genbank
GI	MK236608	GI.6	7607	ORF1	1	5324	+	genbank
GI	MK236608	GI.6	7607	p48	1	1384	+	orf1_relative
GI	MK236608	GI.6	7607	NTPase	1385	2183	+	orf1_relative
GI	MK236608	GI.6	7607	p22	2184	2609	+	orf1_relative
GI	MK236608	GI.6	7607	VPg	2610	3035	+	orf1_relative
GI	MK236608	GI.6	7607	3CLpro	3036	3620	+	orf1_relative
GI	MK236608	GI.6	7607	RdRp	4544	5306	+	inferred_from_region_blast
GI	MK236609	GI.6	7674	VP1	5343	6965	+	inferred_from_region_blast
GI	MK236609	GI.6	7674	VP2	5343	6965	+	genbank
GI	MK236609	GI.6	7674	ORF1	1	5359	+	genbank
GI	MK236609	GI.6	7674	p48	1	1393	+	orf1_relative
GI	MK236609	GI.6	7674	NTPase	1394	2197	+	orf1_relative
GI	MK236609	GI.6	7674	p22	2198	2626	+	orf1_relative
GI	MK236609	GI.6	7674	VPg	2627	3055	+	orf1_relative
GI	MK236609	GI.6	7674	3CLpro	3056	3644	+	orf1_relative
GI	MK236609	GI.6	7674	RdRp	4579	5341	+	inferred_from_region_blast
GI	MK236610	GI.6	7674	VP1	5335	6957	+	inferred_from_region_blast
GI	MK236610	GI.6	7674	VP2	5335	6957	+	genbank
GI	MK236610	GI.6	7674	ORF1	1	5351	+	genbank
GI	MK236610	GI.6	7674	p48	1	1391	+	orf1_relative
GI	MK236610	GI.6	7674	NTPase	1392	2194	+	orf1_relative
GI	MK236610	GI.6	7674	p22	2195	2622	+	orf1_relative
GI	MK236610	GI.6	7674	VPg	2623	3050	+	orf1_relative
GI	MK236610	GI.6	7674	3CLpro	3051	3639	+	orf1_relative
GI	MK236610	GI.6	7674	RdRp	4571	5333	+	inferred_from_region_blast
GI	MK236611	GI.6	7684	VP1	5343	6965	+	inferred_from_region_blast
GI	MK236611	GI.6	7684	VP2	5343	6965	+	genbank
GI	MK236611	GI.6	7684	ORF1	1	5359	+	genbank
GI	MK236611	GI.6	7684	p48	1	1393	+	orf1_relative
GI	MK236611	GI.6	7684	NTPase	1394	2197	+	orf1_relative
GI	MK236611	GI.6	7684	p22	2198	2626	+	orf1_relative
GI	MK236611	GI.6	7684	VPg	2627	3055	+	orf1_relative
GI	MK236611	GI.6	7684	3CLpro	3056	3644	+	orf1_relative
GI	MK236611	GI.6	7684	RdRp	4579	5341	+	inferred_from_region_blast
GI	MT357995	GI.6	7696	VP1	5355	6977	+	genbank
GI	MT357995	GI.6	7696	VP2	6977	7606	+	genbank
GI	MT357995	GI.6	7696	ORF1	5	5371	+	genbank
GI	MT357995	GI.6	7696	p48	5	1399	+	orf1_relative
GI	MT357995	GI.6	7696	NTPase	1400	2204	+	orf1_relative
GI	MT357995	GI.6	7696	p22	2205	2634	+	orf1_relative
GI	MT357995	GI.6	7696	VPg	2635	3063	+	orf1_relative
GI	MT357995	GI.6	7696	3CLpro	3064	3654	+	orf1_relative
GI	MT357995	GI.6	7696	RdRp	4591	5353	+	inferred_from_region_blast
GI	MT357996	GI.6	7696	VP1	5355	6977	+	genbank
GI	MT357996	GI.6	7696	VP2	6977	7606	+	genbank
GI	MT357996	GI.6	7696	ORF1	5	5371	+	genbank
GI	MT357996	GI.6	7696	p48	5	1399	+	orf1_relative
GI	MT357996	GI.6	7696	NTPase	1400	2204	+	orf1_relative
GI	MT357996	GI.6	7696	p22	2205	2634	+	orf1_relative
GI	MT357996	GI.6	7696	VPg	2635	3063	+	orf1_relative
GI	MT357996	GI.6	7696	3CLpro	3064	3654	+	orf1_relative
GI	MT357996	GI.6	7696	RdRp	4591	5353	+	inferred_from_region_blast
GI	MT372464	GI.2	7708	VP1	5355	6995	+	genbank
GI	MT372464	GI.2	7708	VP2	6995	7630	+	genbank
GI	MT372464	GI.2	7708	ORF1	5	5371	+	genbank
GI	MT372464	GI.2	7708	p48	5	1399	+	orf1_relative
GI	MT372464	GI.2	7708	NTPase	1400	2204	+	orf1_relative
GI	MT372464	GI.2	7708	p22	2205	2634	+	orf1_relative
GI	MT372464	GI.2	7708	VPg	2635	3063	+	orf1_relative
GI	MT372464	GI.2	7708	3CLpro	3064	3654	+	orf1_relative
GI	MT372464	GI.2	7708	RdRp	4591	5353	+	inferred_from_region_blast
GI	MT372465	GI.2	7708	VP1	5355	6995	+	genbank
GI	MT372465	GI.2	7708	VP2	6995	7630	+	genbank
GI	MT372465	GI.2	7708	ORF1	5	5371	+	genbank
GI	MT372465	GI.2	7708	p48	5	1399	+	orf1_relative
GI	MT372465	GI.2	7708	NTPase	1400	2204	+	orf1_relative
GI	MT372465	GI.2	7708	p22	2205	2634	+	orf1_relative
GI	MT372465	GI.2	7708	VPg	2635	3063	+	orf1_relative
GI	MT372465	GI.2	7708	3CLpro	3064	3654	+	orf1_relative
GI	MT372465	GI.2	7708	RdRp	4591	5353	+	inferred_from_region_blast
GI	MT372477	GI.6	7696	VP1	5355	6977	+	genbank
GI	MT372477	GI.6	7696	VP2	6977	7606	+	genbank
GI	MT372477	GI.6	7696	ORF1	5	5371	+	genbank
GI	MT372477	GI.6	7696	p48	5	1399	+	orf1_relative
GI	MT372477	GI.6	7696	NTPase	1400	2204	+	orf1_relative
GI	MT372477	GI.6	7696	p22	2205	2634	+	orf1_relative
GI	MT372477	GI.6	7696	VPg	2635	3063	+	orf1_relative
GI	MT372477	GI.6	7696	3CLpro	3064	3654	+	orf1_relative
GI	MT372477	GI.6	7696	RdRp	4591	5353	+	inferred_from_region_blast
GI	MW243609	GI.6	7684	VP1	5343	6965	+	genbank
GI	MW243609	GI.6	7684	VP2	6965	7594	+	genbank
GI	MW243609	GI.6	7684	ORF1	1	5359	+	genbank
GI	MW243609	GI.6	7684	p48	1	1393	+	orf1_relative
GI	MW243609	GI.6	7684	NTPase	1394	2197	+	orf1_relative
GI	MW243609	GI.6	7684	p22	2198	2626	+	orf1_relative
GI	MW243609	GI.6	7684	VPg	2627	3055	+	orf1_relative
GI	MW243609	GI.6	7684	3CLpro	3056	3644	+	orf1_relative
GI	MW243609	GI.6	7684	RdRp	4579	5341	+	inferred_from_region_blast
GI	MW305497	GI.6	7660	VP1	5319	6941	+	genbank
GI	MW305497	GI.6	7660	VP2	6941	7570	+	genbank
GI	MW305497	GI.6	7660	ORF1	1	5335	+	genbank
GI	MW305497	GI.6	7660	p48	1	1387	+	orf1_relative
GI	MW305497	GI.6	7660	NTPase	1388	2187	+	orf1_relative
GI	MW305497	GI.6	7660	p22	2188	2614	+	orf1_relative
GI	MW305497	GI.6	7660	VPg	2615	3041	+	orf1_relative
GI	MW305497	GI.6	7660	3CLpro	3042	3628	+	orf1_relative
GI	MW305497	GI.6	7660	RdRp	4555	5317	+	inferred_from_region_blast
GI	MW305498	GI.6	7659	VP1	5319	6941	+	genbank
GI	MW305498	GI.6	7659	VP2	6941	7570	+	genbank
GI	MW305498	GI.6	7659	ORF1	1	5335	+	genbank
GI	MW305498	GI.6	7659	p48	1	1387	+	orf1_relative
GI	MW305498	GI.6	7659	NTPase	1388	2187	+	orf1_relative
GI	MW305498	GI.6	7659	p22	2188	2614	+	orf1_relative
GI	MW305498	GI.6	7659	VPg	2615	3041	+	orf1_relative
GI	MW305498	GI.6	7659	3CLpro	3042	3628	+	orf1_relative
GI	MW305498	GI.6	7659	RdRp	4555	5317	+	inferred_from_region_blast
GI	OP162338	GI.6	7586	VP1	5332	6954	+	genbank
GI	OP162338	GI.6	7586	VP2	6954	7583	+	genbank
GI	OP162338	GI.6	7586	ORF1	1	5348	+	genbank
GI	OP162338	GI.6	7586	p48	1	1390	+	orf1_relative
GI	OP162338	GI.6	7586	NTPase	1391	2193	+	orf1_relative
GI	OP162338	GI.6	7586	p22	2194	2621	+	orf1_relative
GI	OP162338	GI.6	7586	VPg	2622	3048	+	orf1_relative
GI	OP162338	GI.6	7586	3CLpro	3049	3637	+	orf1_relative
GI	OP162338	GI.6	7586	RdRp	4568	5330	+	inferred_from_region_blast
GI	OP162339	GI.6	7597	VP1	5343	6965	+	genbank
GI	OP162339	GI.6	7597	VP2	6965	7594	+	genbank
GI	OP162339	GI.6	7597	ORF1	1	5359	+	genbank
GI	OP162339	GI.6	7597	p48	1	1393	+	orf1_relative
GI	OP162339	GI.6	7597	NTPase	1394	2197	+	orf1_relative
GI	OP162339	GI.6	7597	p22	2198	2626	+	orf1_relative
GI	OP162339	GI.6	7597	VPg	2627	3055	+	orf1_relative
GI	OP162339	GI.6	7597	3CLpro	3056	3644	+	orf1_relative
GI	OP162339	GI.6	7597	RdRp	4579	5341	+	inferred_from_region_blast
GI	OP162340	GI.6	7593	VP1	5339	6961	+	genbank
GI	OP162340	GI.6	7593	VP2	6961	7590	+	genbank
GI	OP162340	GI.6	7593	ORF1	1	5355	+	genbank
GI	OP162340	GI.6	7593	p48	1	1392	+	orf1_relative
GI	OP162340	GI.6	7593	NTPase	1393	2196	+	orf1_relative
GI	OP162340	GI.6	7593	p22	2197	2624	+	orf1_relative
GI	OP162340	GI.6	7593	VPg	2625	3052	+	orf1_relative
GI	OP162340	GI.6	7593	3CLpro	3053	3641	+	orf1_relative
GI	OP162340	GI.6	7593	RdRp	4575	5337	+	inferred_from_region_blast
GI	OR267350	GI.6	7320	VP1	5291	6913	+	genbank
GI	OR267350	GI.6	7320	VP2	6913	7320	+	genbank
GI	OR267350	GI.6	7320	ORF1	1	5307	+	genbank
GI	OR267350	GI.6	7320	p48	1	1380	+	orf1_relative
GI	OR267350	GI.6	7320	NTPase	1381	2176	+	orf1_relative
GI	OR267350	GI.6	7320	p22	2177	2600	+	orf1_relative
GI	OR267350	GI.6	7320	VPg	2601	3025	+	orf1_relative
GI	OR267350	GI.6	7320	3CLpro	3026	3609	+	orf1_relative
GI	OR267350	GI.6	7320	RdRp	4527	5289	+	inferred_from_region_blast
GI	OR267444	GI.6	7320	VP1	5291	6913	+	genbank
GI	OR267444	GI.6	7320	VP2	6913	7320	+	genbank
GI	OR267444	GI.6	7320	ORF1	1	5307	+	genbank
GI	OR267444	GI.6	7320	p48	1	1380	+	orf1_relative
GI	OR267444	GI.6	7320	NTPase	1381	2176	+	orf1_relative
GI	OR267444	GI.6	7320	p22	2177	2600	+	orf1_relative
GI	OR267444	GI.6	7320	VPg	2601	3025	+	orf1_relative
GI	OR267444	GI.6	7320	3CLpro	3026	3609	+	orf1_relative
GI	OR267444	GI.6	7320	RdRp	4527	5289	+	inferred_from_region_blast
GI	OR267445	GI.6	7320	VP1	5291	6913	+	genbank
GI	OR267445	GI.6	7320	VP2	6913	7320	+	genbank
GI	OR267445	GI.6	7320	ORF1	1	5307	+	genbank
GI	OR267445	GI.6	7320	p48	1	1380	+	orf1_relative
GI	OR267445	GI.6	7320	NTPase	1381	2176	+	orf1_relative
GI	OR267445	GI.6	7320	p22	2177	2600	+	orf1_relative
GI	OR267445	GI.6	7320	VPg	2601	3025	+	orf1_relative
GI	OR267445	GI.6	7320	3CLpro	3026	3609	+	orf1_relative
GI	OR267445	GI.6	7320	RdRp	4527	5289	+	inferred_from_region_blast
GI	OR267446	GI.6	7320	VP1	5291	6913	+	genbank
GI	OR267446	GI.6	7320	VP2	6913	7320	+	genbank
GI	OR267446	GI.6	7320	ORF1	1	5307	+	genbank
GI	OR267446	GI.6	7320	p48	1	1380	+	orf1_relative
GI	OR267446	GI.6	7320	NTPase	1381	2176	+	orf1_relative
GI	OR267446	GI.6	7320	p22	2177	2600	+	orf1_relative
GI	OR267446	GI.6	7320	VPg	2601	3025	+	orf1_relative
GI	OR267446	GI.6	7320	3CLpro	3026	3609	+	orf1_relative
GI	OR267446	GI.6	7320	RdRp	4527	5289	+	inferred_from_region_blast
GI	OR267447	GI.6	7320	VP1	5291	6913	+	genbank
GI	OR267447	GI.6	7320	VP2	6913	7320	+	genbank
GI	OR267447	GI.6	7320	ORF1	1	5307	+	genbank
GI	OR267447	GI.6	7320	p48	1	1380	+	orf1_relative
GI	OR267447	GI.6	7320	NTPase	1381	2176	+	orf1_relative
GI	OR267447	GI.6	7320	p22	2177	2600	+	orf1_relative
GI	OR267447	GI.6	7320	VPg	2601	3025	+	orf1_relative
GI	OR267447	GI.6	7320	3CLpro	3026	3609	+	orf1_relative
GI	OR267447	GI.6	7320	RdRp	4527	5289	+	inferred_from_region_blast
GI	OR268205	GI.6	7461	VP1	5276	6898	+	genbank
GI	OR268205	GI.6	7461	VP2	6898	7461	+	genbank
GI	OR268205	GI.6	7461	ORF1	1	5292	+	genbank
GI	OR268205	GI.6	7461	p48	1	1376	+	orf1_relative
GI	OR268205	GI.6	7461	NTPase	1377	2170	+	orf1_relative
GI	OR268205	GI.6	7461	p22	2171	2593	+	orf1_relative
GI	OR268205	GI.6	7461	VPg	2594	3016	+	orf1_relative
GI	OR268205	GI.6	7461	3CLpro	3017	3599	+	orf1_relative
GI	OR268205	GI.6	7461	RdRp	4512	5274	+	inferred_from_region_blast
GI	OR268206	GI.6	7461	VP1	5276	6898	+	genbank
GI	OR268206	GI.6	7461	VP2	6898	7461	+	genbank
GI	OR268206	GI.6	7461	ORF1	1	5292	+	genbank
GI	OR268206	GI.6	7461	p48	1	1376	+	orf1_relative
GI	OR268206	GI.6	7461	NTPase	1377	2170	+	orf1_relative
GI	OR268206	GI.6	7461	p22	2171	2593	+	orf1_relative
GI	OR268206	GI.6	7461	VPg	2594	3016	+	orf1_relative
GI	OR268206	GI.6	7461	3CLpro	3017	3599	+	orf1_relative
GI	OR268206	GI.6	7461	RdRp	4512	5274	+	inferred_from_region_blast
GI	OR268207	GI.6	7461	VP1	5276	6898	+	genbank
GI	OR268207	GI.6	7461	VP2	6898	7461	+	genbank
GI	OR268207	GI.6	7461	ORF1	1	5292	+	genbank
GI	OR268207	GI.6	7461	p48	1	1376	+	orf1_relative
GI	OR268207	GI.6	7461	NTPase	1377	2170	+	orf1_relative
GI	OR268207	GI.6	7461	p22	2171	2593	+	orf1_relative
GI	OR268207	GI.6	7461	VPg	2594	3016	+	orf1_relative
GI	OR268207	GI.6	7461	3CLpro	3017	3599	+	orf1_relative
GI	OR268207	GI.6	7461	RdRp	4512	5274	+	inferred_from_region_blast
GI	OR268208	GI.6	7461	VP1	5276	6898	+	genbank
GI	OR268208	GI.6	7461	VP2	6898	7461	+	genbank
GI	OR268208	GI.6	7461	ORF1	1	5292	+	genbank
GI	OR268208	GI.6	7461	p48	1	1376	+	orf1_relative
GI	OR268208	GI.6	7461	NTPase	1377	2170	+	orf1_relative
GI	OR268208	GI.6	7461	p22	2171	2593	+	orf1_relative
GI	OR268208	GI.6	7461	VPg	2594	3016	+	orf1_relative
GI	OR268208	GI.6	7461	3CLpro	3017	3599	+	orf1_relative
GI	OR268208	GI.6	7461	RdRp	4512	5274	+	inferred_from_region_blast
GI	OR268635	GI.6	7476	VP1	5291	6913	+	genbank
GI	OR268635	GI.6	7476	VP2	6913	7476	+	genbank
GI	OR268635	GI.6	7476	ORF1	1	5307	+	genbank
GI	OR268635	GI.6	7476	p48	1	1380	+	orf1_relative
GI	OR268635	GI.6	7476	NTPase	1381	2176	+	orf1_relative
GI	OR268635	GI.6	7476	p22	2177	2600	+	orf1_relative
GI	OR268635	GI.6	7476	VPg	2601	3025	+	orf1_relative
GI	OR268635	GI.6	7476	3CLpro	3026	3609	+	orf1_relative
GI	OR268635	GI.6	7476	RdRp	4527	5289	+	inferred_from_region_blast
GI	OR268636	GI.6	7476	VP1	5291	6913	+	genbank
GI	OR268636	GI.6	7476	VP2	6913	7476	+	genbank
GI	OR268636	GI.6	7476	ORF1	1	5307	+	genbank
GI	OR268636	GI.6	7476	p48	1	1380	+	orf1_relative
GI	OR268636	GI.6	7476	NTPase	1381	2176	+	orf1_relative
GI	OR268636	GI.6	7476	p22	2177	2600	+	orf1_relative
GI	OR268636	GI.6	7476	VPg	2601	3025	+	orf1_relative
GI	OR268636	GI.6	7476	3CLpro	3026	3609	+	orf1_relative
GI	OR268636	GI.6	7476	RdRp	4527	5289	+	inferred_from_region_blast
GI	LC646334	GI.7	7638	VP1	5372	6991	+	genbank
GI	LC646334	GI.7	7638	VP2	6991	7638	+	genbank
GI	LC646334	GI.7	7638	ORF1	1	5388	+	genbank
GI	LC646334	GI.7	7638	p48	1	1401	+	orf1_relative
GI	LC646334	GI.7	7638	NTPase	1402	2209	+	orf1_relative
GI	LC646334	GI.7	7638	p22	2210	2640	+	orf1_relative
GI	LC646334	GI.7	7638	VPg	2641	3071	+	orf1_relative
GI	LC646334	GI.7	7638	3CLpro	3072	3664	+	orf1_relative
GI	LC646334	GI.7	7638	RdRp	4609	5370	+	inferred_from_region_blast
GI	LC646335	GI.7	7630	VP1	5364	6983	+	genbank
GI	LC646335	GI.7	7630	VP2	6983	7630	+	genbank
GI	LC646335	GI.7	7630	ORF1	1	5380	+	genbank
GI	LC646335	GI.7	7630	p48	1	1399	+	orf1_relative
GI	LC646335	GI.7	7630	NTPase	1400	2206	+	orf1_relative
GI	LC646335	GI.7	7630	p22	2207	2636	+	orf1_relative
GI	LC646335	GI.7	7630	VPg	2637	3067	+	orf1_relative
GI	LC646335	GI.7	7630	3CLpro	3068	3658	+	orf1_relative
GI	LC646335	GI.7	7630	RdRp	4600	5362	+	inferred_from_region_blast
GI	LC769710	GI.3	7758	VP1	5389	7023	+	genbank
GI	LC769710	GI.3	7758	VP2	7023	7670	+	genbank
GI	LC769710	GI.3	7758	ORF1	1	5405	+	genbank
GI	LC769710	GI.3	7758	p48	1	1405	+	orf1_relative
GI	LC769710	GI.3	7758	NTPase	1406	2216	+	orf1_relative
GI	LC769710	GI.3	7758	p22	2217	2648	+	orf1_relative
GI	LC769710	GI.3	7758	VPg	2649	3081	+	orf1_relative
GI	LC769710	GI.3	7758	3CLpro	3082	3675	+	orf1_relative
GI	LC769710	GI.3	7758	RdRp	4625	5387	+	inferred_from_region_blast
GI	LC769711	GI.3	7815	VP1	5395	7029	+	genbank
GI	LC769711	GI.3	7815	VP2	7029	7676	+	genbank
GI	LC769711	GI.3	7815	ORF1	3	5411	+	genbank
GI	LC769711	GI.3	7815	p48	3	1408	+	orf1_relative
GI	LC769711	GI.3	7815	NTPase	1409	2220	+	orf1_relative
GI	LC769711	GI.3	7815	p22	2221	2652	+	orf1_relative
GI	LC769711	GI.3	7815	VPg	2653	3085	+	orf1_relative
GI	LC769711	GI.3	7815	3CLpro	3086	3680	+	orf1_relative
GI	LC769711	GI.3	7815	RdRp	4631	5393	+	inferred_from_region_blast
GI	MH218721	GI.3	7704	VP1	5388	7025	+	genbank
GI	MH218721	GI.3	7704	VP2	7025	7672	+	genbank
GI	MH218721	GI.3	7704	ORF1	5	5404	+	genbank
GI	MH218721	GI.3	7704	p48	5	1408	+	orf1_relative
GI	MH218721	GI.3	7704	NTPase	1409	2218	+	orf1_relative
GI	MH218721	GI.3	7704	p22	2219	2650	+	orf1_relative
GI	MH218721	GI.3	7704	VPg	2651	3082	+	orf1_relative
GI	MH218721	GI.3	7704	3CLpro	3083	3676	+	orf1_relative
GI	MH218721	GI.3	7704	RdRp	4624	5386	+	inferred_from_region_blast
GI	MH218723	GI.3	7778	VP1	5388	7025	+	genbank
GI	MH218723	GI.3	7778	VP2	7025	7672	+	genbank
GI	MH218723	GI.3	7778	ORF1	5	5404	+	genbank
GI	MH218723	GI.3	7778	p48	5	1408	+	orf1_relative
GI	MH218723	GI.3	7778	NTPase	1409	2218	+	orf1_relative
GI	MH218723	GI.3	7778	p22	2219	2650	+	orf1_relative
